title	pubyear	cen	auth	auth_gen	dedication	Author last name	Author first name	Name as it appears	Author ID	Birth year	Generation	Year of Death	No. of books in the dataset	City of birth	State	Birth country	Level contribution
				Woman		Unigwe	Chika 	Chika Unigwe	114.0	1974.0			2.0	Enugu		Nigeria	Adult fiction
				Woman		Senna	Danzy	Danzy Senna	115.0	1970.0			2.0	Boston	Massachusetts	USA	Adult fiction
				Man		Bradley 	David 	David Bradley	116.0	1950.0			1.0	Bedford	Pennsylvania	USA	Adult fiction
				Man		Faladé	David Wright	David Wright Faladé 	117.0				1.0				
				Woman		Evans	Diana	Diana Evans	118.0	1972.0			3.0	Neasden		UK	Adult fiction
				Man		Mengestu	Dinaw	Dinaw Mengestu	119.0	1978.0			3.0	Addis Ababa		Ethiopia	Adult fiction
				Woman		Perkins-Valdez	Dolen	Dolen Perkins-Valdez	120.0				2.0				
				Woman		Yakusak	Edify 	Edify Yakusak	121.0				1.0				
				Woman		Bland	Eleanor Taylor	Eleanor Taylor Bland	122.0	1944.0		2010.0	4.0	Boston	Massachusetts	USA	Adult fiction
				Woman		Edugyan	Esi	Esi Edugyan	123.0	1978.0			1.0	Calgary		Canada	Adult fiction
				Woman		Nwapa	Flora	Flora Nwapa	124.0	1931.0		1993.0	6.0	Oguta		Nigeria	Adult fiction
				Woman		Ray	Francis	Francis Ray	125.0	1944.0		2013.0	6.0	Richland	Texas	USA	Adult fiction
				Man		D'Aguiar	Fred	Fred D'Aguiar	126.0	1960.0			5.0	London		UK	Adult fiction
				Man		Parks	Gordon	Gordon Parks	127.0	1912.0		2006.0	1.0	Fort Scott	Kansas	USA	Adult fiction
				Woman		Oyeyemi	Helen 	Helen Oyeyemi	128.0	1984.0			6.0	Ibadan		Nigeria	Adult fiction
				Man		Habila	Helon	Helon Habila	129.0	1967.0			4.0	Kaltungo		Nigeria	Adult fiction
				Woman		Jeffers	Honorée Fanonne 	Honorée Fanonne Jeffers	130.0	1967.0			1.0	Kokomo	Indiana	USA	Adult fiction
				Woman		Mbue	Imbolo	Imbolo Mbue	131.0	1982.0			2.0	Limbe		Cameroon	Adult fiction
				Woman		Cooper	J. California	J. California Cooper	132.0	1931.0		2014.0	5.0	Berkeley	California	USA	Adult fiction
				Woman		Guillory	Jasmine	Jasmine Guillory	133.0				6.0				
				Man		Mott 	Jason	Jason Mott	134.0				1.0				
				Man		Allen	Jeffery Renard 	Jeffery Renard Allen	135.0	1962.0			2.0	Chicago	Illinois	USA	Adult fiction
				Woman		Makumbi	Jennifer Nansubuga	Jennifer Nansubuga Makumbi	136.0				2.0				
				Woman		Fauset	Jessie Redmond	Jessie Redmond Fauset	137.0	1882.0		1961.0	4.0	Camden County	New Jersey	USA	Adult fiction
				Woman		Rhodes	Jewell Parker	Jewell Parker Rhodes	138.0	1954.0			9.0	Pittsburgh	Pennsylvania	USA	Adult fiction
				Woman		Quinones Miller	Karen E.	Karen E. Quinones Miller	139.0	1958.0			1.0	Harlem	New York	USA	Adult fiction
				Woman		Holloway 	Karla FC	Karla FC Holloway 	140.0	1949.0			2.0	Buffalo	New York	USA	Adult fiction
				Woman		Wilkinson	Lauren	Lauren Wilkinson	141.0	1984.0			1.0				
				Woman		Alexander	Kianna	Kianna Alexander	142.0				1.0				
				Man		Laymon	Kiese	Kiese Laymon	143.0	1974.0			1.0	Jackson	Mississippi	USA	Adult fiction
				Woman		Reid 	Kiley	Kiley Reid	144.0	1987.0			1.0	Los Angeles	California	USA	Adult fiction
				Woman		Jones	Nettie	Nettie Jones	145.0	1941.0			2.0	Arlington	Georgia	USA	Adult fiction
				Man		Forrest	Leon	Leon Forrest	146.0	1937.0		1997.0	2.0	Chicago	Illinois	USA	Adult fiction
				Woman		Cary	Lorene	Lorene Cary	147.0	1956.0			2.0	Philadelphia	Pennsylvania	USA	Adult fiction
				Woman		Walker	Mari	Mari Walker	148.0				1.0				
				Woman		Golden	Marita	Marita Golden	149.0	1950.0			3.0	Washington D. C.		USA	Adult fiction
				Man		James	Marlon	Marlon James	150.0	1970.0			5.0	Kingston		Jamaica	Adult fiction
				Woman		Southgate	Martha	Martha Southgate	151.0	1960.0			3.0	Cleveland	Ohio	USA	Adult fiction
				Woman		Monroe	Mary	Mary Monroe	152.0	1951.0			9.0	Toxey	Alabama	USA	Adult fiction
				Man		Ruffin	Maurice	Maurice Carlos Ruffin	153.0	1977, 1978, or 1979			1.0	New Orleans	Louisiana	USA	Adult fiction
				Woman		Giddings	Megan	Megan Giddings	154.0				1.0				
				Man		Dixon	Melvin	Melvin Dixon	155.0	1950.0		1992.0	1.0	Stamford	Connecticut	USA	Adult fiction
				Woman		Cliff	Michelle	Michelle Cliff	156.0	1946.0		2016.0	1.0	Kingston		Jamaica	Adult fiction
				Man		Jackson	Mitchell S. 	Mitchell S. Jackson	157.0				1.0				
				Woman		Jerkins	Morgan	Morgan Jerkins	158.0	1992.0			1.0	New Jersey	Jersey	USA	Adult fiction
				Man		George	Nelson	Nelson George	159.0	1957.0			5.0	Brooklyn	New York	USA	Adult fiction
				Man		Thiong'o	Ngũgĩ wa	Ngũgĩ wa Thiong'o	160.0	1938.0			6.0	Kamirithu		Kenya	Adult fiction
				Woman		Tramble	Nichelle D.	Nichelle D. Tramble	161.0	1967.0			2.0	Alameda County	California	USA	Adult fiction
				Woman		May	Nikki	Nikki May	162.0				1.0				
				Woman		Bulawayo	Noviolet	Noviolet Bulawayo	163.0	1981.0			2.0	Tsholotsho		Zimbabwe	Adult fiction
				Woman		Shange	Ntozake	Ntozake Shange	164.0	1948.0		2018.0	1.0	Trenton	New Jersey	USA	Adult fiction
				Man		Farah	Nuruddin	Nuruddin Farah	165.0	1945.0			13.0	Baidoa		Somalia	Adult fiction
				Woman		Vernon	Olympia	Olympia Vernon	166.0	1973.0			3.0	Bogalusa	Louisiana	USA	Adult fiction
				Man		Micheaux	Oscar	Oscar Micheaux	167.0	1884.0		1951.0	2.0	Metropolis	Illinois	USA	Adult fiction
				Woman		Braithwaite	Oyinkan	Oyinkan Braithwaite	168.0	1988.0			1.0	Lagos		Nigeria	Adult fiction
				Woman		Cleage	Pearl	Pearl Cleage	169.0	1948.0			6.0	Springfield	Massachusetts	USA	Adult fiction
				Man		Everett	Percival	Percival Everett	170.0	1956.0			21.0	Fort Gordon	Georgia	USA	Adult fiction
				Woman		Leilani	Raven	Raven Leilani	171.0	1990.0			1.0	Bronx	New York	USA	Adult fiction
				Man		Andrews	Raymond	Raymond Andrews	172.0	1934.0		1991.0	3.0	Plainview	Georgia	USA	Adult fiction
				Nonbinary		Solomon	Rivers	Rivers Solomon	173.0	1989.0			3.0	California	California	USA	Adult fiction
				Man		Attaway	William	William Attaway	174.0	1911.0		1986.0	2.0	Greenville	Mississippi	USA	Adult fiction
				Man		Pharr	Robert Deane	Robert Deane Pharr	175.0	1916.0		1992.0	1.0	Richmond	Virginia	USA	Adult fiction
				Man		Jones	Robert	Robert Jones, Jr.	176.0	1971.0			1.0	New York City	New York	USA	Adult fiction
				Woman		Alers	Rochelle	Rochelle Alers	177.0	1943.0			10.0	New York City	New York	USA	Adult fiction
				Woman		Guy	Rosa	Rosa Guy	178.0	1922.0		2012.0	7.0	Diego Martin		Trinidad	Adult fiction
				Woman		Gay	Roxane	Roxane Gay	179.0	1974.0			1.0	Omaha	Nebraska	USA	Adult fiction
				Man		Cosby	S. A. 	S. A. Cosby	180.0				3.0	Mathews County	Virginia	USA	Adult fiction
				Woman		Elhillo	Safia 	Safia Elhillo	181.0	1990.0			1.0	Rockville	Maryland	USA	Adult fiction
				Man		Delany	Samuel R.	Samuel R. Delany	182.0	1942.0			10.0	New York City	New York	USA	Adult fiction
				Woman		Sapphire	Sapphire	Sapphire 	183.0	1950.0			1.0	Fort Ord	California	USA	Adult fiction
				Woman		Sister Souljah	Sister Souljah	Sister Souljah	184.0	1964.0			5.0	Bronx	New York	USA	Adult fiction
				Woman		Watts	Stephanie Powell	Stephanie Powell Watts	185.0				1.0				
				Man		Griggs	Sutton E.	Sutton E. Griggs	186.0	1872.0		1933.0	1.0	Chatfield	Texas	USA	Adult fiction
				Woman		Parks	Suzan-Lori 	Suzan-Lori Parks	187.0	1963.0			1.0	Fort Knox	Kentucky	USA	Adult fiction
				Man		Johnson	T. Geronimo	T. Geronimo Johnson	188.0				2.0				
				Woman		Due	Tananarive 	Tananarive Due	189.0	1966.0			8.0	Tallahassee	Florida	USA	Adult fiction
				Woman		Stringfellow	Tara M.	Tara M. Stringfellow	190.0				1.0				
				Man		Cole	Teju	Teju Cole	191.0	1975.0			2.0	Kalamazoo	Michigan	USA	Adult fiction
				Woman		Woods	Teri	Teri Woods	192.0	1968.0			5.0	Media	Pennsylvania	USA	Adult fiction
				Woman		Davis	Thulani	Thulani Davis	193.0	1949.0			2.0	Hampton	Virginia	USA	Adult fiction
				Woman		Ansa	Tina McElroy	Tina McElroy Ansa	194.0	1949.0			3.0	Macon	Georgia	USA	Adult fiction
				Woman		Dangarembga	Tsitsi 	Tsitsi Dangarembga	195.0	1959.0			3.0	Mutoko		Southern Rhodesia (now Zimbabwe)	Adult fiction
				Woman		Wesley	Valerie Wilson	Valerie Wilson Wesley	196.0	1947.0			7.0	Ashford	Connecticut	USA	Adult fiction
				Man		Thurman	Wallace	Wallace Thurman	197.0	1902.0		1934.0	2.0	Salt Lake City	Utah	USA	Adult fiction
				Man		White	Walter	Walter White	198.0	1893.0		1955.0	2.0	Atlanta	Georgia	USA	Adult fiction
				Man		Greenlee	Sam	Sam Greenlee	199.0				1.0				
				Woman		Sullivan	Mecca Jamilah	Mecca Jamilah Sullivan	200.0				1.0				
				Woman		Newman	Alison Mills	Alison Mills Newman	201.0	1951.0			1.0				
				Woman		Dow	Alechia	Alechia Dow	202.0				2.0				
				Woman		Williams	Alicia D.	Alicie D. Williams	203.0	1970.0			1.0	Detroit	Michigan	USA	Middle Grade
				Woman		Thomas	Angie	Angie Thomas	204.0	1988.0			3.0	Jackson	Mississippi	USA	Young adult fiction
				Woman		Bromfield	Asha	Asha Bromfield	205.0				1.0				
				Woman		Woodfolk	Ashley	Ashley Woodfolk	206.0				1.0				
				Woman		Gray	Ayana 	Ayana Gray	207.0	1993.0			1.0	Atlanta	Georgia	USA	Young adult fiction
				Man		Laing	B. Kojo	B. Kojo Laing	208.0	1946.0		2017.0	4.0	Kumasi		Ghana	Adult fiction
				Woman		Morrow	Bethany C.	Bethany C. Morrow	209.0				1.0				
				Woman		Colbert	Brandy 	Brandy Colbert	210.0				4.0	Springfield	Missouri	USA	
				Woman		Woods	Brenda	Brenda Woods	211.0				1.0				
				Man		Walker	Brian F. 	Brian F. Walker	212.0				1.0				
				Woman		Morris	Brittney	Brittney Morris	213.0				4.0				
				Woman		Garrett	Camryn	Camryn Garrett	214.0	2000.0			2.0	New York City	New York	USA	Young adult fiction
				Woman		Iloh	Candice	Candice Iloh	215.0				1.0				
				Woman		Okparanta	Chinelo	Chinelo Okparanta	216.0	1981.0			1.0	Port Harcourt		Nigeria	Adult fiction
				Woman		Reed	Christina Hammonds	Christina Hammonds Reed	217.0				1.0				
				Man		Curtis	Christopher Paul	Christopher Paul Curtis	218.0	1953.0			3.0	Flint	Michigan	USA	
				Woman		Giles	Chrystal D.	Chrystal D. Giles	219.0				1.0				
				Woman		Kann	Claire	Claire Kann	220.0				1.0				
				Woman		Booth	Coe	Coe Booth	221.0				1.0				
				Man		Ekwensi	Cyprian	Cyprian Ekwensi	222.0	1921.0		2007.0	4.0	Minna		Nigeria	Adult fiction
				Woman		Hermon	Daka	Daka Hermon	223.0				1.0				
				Woman		Davis	Dana L.	Dana L. Davis	224.0	1978.0			3.0	Daevenport	Iowa	USA	Young adult fiction
				Woman		McQueen	Daven	Daven McQueen	225.0				1.0				
				Woman		Clark	Tracy	Tracy Clark	226.0				11.0	Chicago	Illinois	USA	
				Woman		Spicer-Dannelly	Doreen	Doreen Spicer-Dannelly	227.0				1.0				
				Woman		Gordon	Alexia	Alexia Gordon	228.0				5.0				
				Woman		Brown	Echo	Echo Brown	229.0				1.0				
				Woman		Royce	Eden	Eden Royce	230.0				1.0				
				Man		Amadi 	Elechi	Elechi Amadi	231.0	1934.0		2016.0	2.0	Rivers		Nigeria	Adult fiction
				Woman		Acevedo	Elizabeth	Elizabeth Acevedo	232.0	1988.0			1.0	New York City	New York	USA	
				Woman		Bryant 	Elise	Elise Bryant 	233.0				1.0				
				Man		John	Elnathan	Elnathan John	234.0	1982.0			1.0	Kaduna		Nigeria	Adult fiction
				Woman		Ewing	Eve 	Eve L. Ewing	235.0	1986.0			1.0	Chicago	Illinois	USA	Middle Grade
				Woman		Kendrick	Erika J.	Erika J. Kendrick	236.0				1.0				
				Man		Oyono	Ferdinand	Ferdinand Oyono	237.0	1929.0		2010.0	1.0	Ngoule Makong		Cameroon	Adult fiction
				Woman		Hyman 	Fracaswell	Fracaswell Hyman	238.0				2.0				
				Woman		Simone	Francina	Francina Simone	239.0				1.0				
				Man		Neri	G.	G. Neri	240.0				1.0				
				Woman		Zoboi	Ibi	Ibi Zoboi	241.0				3.0	Port-au-Prince		Haiti	
				Woman		Brown	India Hill	India Hill Brown	242.0				1.0				
				Man		Okpewho	Isidore	Isidore Okpewho	243.0	1941.0		2016.0	2.0	Agbor		Nigeria	Adult fiction
				Woman		Elle	J.	J. Elle	244.0				1.0				
				Woman		Marks	Janae	Janae Marks	245.0				2.0				
				Woman		Harrington	Janice N.	Janice N. Harrington	246.0	1956.0			1.0	Vernon	Alabama	USA	Middle Grade
				Man		Reynolds	Jason	Jason Reynolds	247.0	1983.0			10.0	Washington		USA	Middle grade and Young adult fiction
				Man		Coles	Jay	Jay Coles	248.0				1.0				
				Man		Patterson	Orlando	Orlando Patterson	249.0	1940.0			2.0	Westmoreland Parish		Jamaica	Adult fiction
				Man		Ile	Jowhor 	Jowhor Ile	250.0	1980.0			1.0	Port Harcourt		Nigeria	Adult fiction
				Woman		Jones	Joy	Joy Jones	251.0				1.0				
				Woman		Goffney	Joya	Joya Goffney	252.0				1.0				
				Woman		Verissimo	Jumoke	Jumoke Verissimo	253.0	1979.0			1.0	Lagos		Nigeria	Adult fiction
				Woman		Petrus	Junauda	Junauda Petrus	254.0	1981.0			1.0	Minneapolis	Minnesota	USA	Young adult fiction
				Man		Reynolds	Justin A.	Justin A. Reynolds	255.0				2.0				
				Woman		Ireland	Justina 	Justina Ireland	256.0	1985.0			9.0	French Camp	California	USA	Young adult fiction
				Woman		Moore	Wayetu	Wayetu Moore	257.0	1985.0			1.0			Liberia	Adult fiction
				Nonbinary		Callender	Kacen 	Kacen Callender	258.0				2.0				
				Woman		English	Karen	Karen English	259.0				1.0				
				Woman		Strong	Karen	Karen Strong	260.0				1.0				
				Woman		Parsons	Karyn	Karyn Parsons	261.0				1.0				
				Woman		Dunham	Katherine	Katherine Dunham	262.0	1909.0		2006.0	1.0	Glen Ellyn	Illinois	USA	Adult fiction
				Woman		Bayron	Kaylnn	Kaylnn Bayron	263.0				3.0				
				Woman		Magoon	Kekla	Kekla Magoon	264.0	1980.0			1.0	Michigan	Michigan	USA	Middle Grade
				Woman		Baptist 	Kelly J.	Kelly J. Baptist	265.0				2.0				
				Woman		Getten	Kereen	Kereen Getten	266.0				1.0				
				Woman		Johnson	Kim	Kim Johnson	267.0				1.0				
				Woman		Lee	Kristen R.	Kristen R. Lee	268.0				1.0				
				Woman		Forest	Kristina	Kristina Forest	269.0				3.0				
				Man		Alexander	Kwame	Kwame Alexander	270.0	1968.0			2.0	Virginia	Virginia	USA	Middle Grade
				Man		Mbalia 	Kwame	Kwame Mbalia	271.0				1.0				
				Woman		McKinney	L. L.	L. L. McKinney	272.0				3.0				
				Man		Giles	Lamar	Lamar Giles	273.0	1979.0			7.0	Virginia	Virginia	USA	Middle grade and Young adult fiction
				Man		Darmani	Lawrence	Lawrence Darmani	274.0	1956.0			1.0			Ghana	Adult fiction
				Woman		Henderson	Leah	Leah Henderson	275.0				1.0				
				Woman		Johnson	Leah	Leah Johnson	276.0	1993.0			2.0	Indianapolis	Indiana	USA	Young adult fiction
				Woman		Aboulela	Leila	Leila Aboulela	277.0	1964.0			3.0	Cairo		Egypt	Adult fiction
				Woman		Cline-Ransome	Lesa	Lesa Cline-Ransome	278.0				1.0				
				Woman		Youngblood	Leslie C.	Leslie C. Youngblood	279.0				1.0				
				Woman		Tamani	Liara	Liara Tamani	280.0				2.0				
				Woman		Jackson	Linda Williams	Linda Williams Jackson	281.0				1.0				
				Woman		Ramee	Lisa Moore	Lisa Moore Ramee	282.0				2.0				
				Woman		Stringfellow	Lisa	Lisa Stringfellow	283.0				1.0				
				Woman		Shoneyin	Lola	Lola Shoneyin	284.0	1974.0			1.0	Ibadan		Nigeria	Adult fiction
				Man		Demby	William	William Demby	285.0	1922.0		2013.0	1.0	Pittsburgh	Pennsylvania	USA	Adult fiction
				Woman		Mengiste	Maaza	Maaza Mengiste	286.0	1974.0			2.0	Addis Ababa		Ethiopia	Adult fiction
				Woman		Browne	Mahogany L.	Mahogany L. Browne	287.0	1976.0			1.0	California	California	USA	Young adult fiction
				Woman		Maganjo	Makena	Makena Maganjo	288.0				1.0				
				Woman		Ogola	Margaret	Margaret Ogola	289.0	1958.0		2011.0	2.0	Asembo		Kenya	Adult fiction
				Woman		Bâ	Mariama	Mariama Bâ	290.0	1929.0		1981.0	1.0	Dakar		Senegal	
				Woman		Lockington	Mariama J.	Mariama J. Lockington	291.0	1929.0		1981.0	1.0	Dakar		Senegal	Adult fiction
				Woman		Parker	Morgan	Morgan Parker	292.0	1987.0			1.0	California	California	USA	Young adult fiction
				Woman		Taylor	Mildred D. 	Mildred D. Taylor	293.0	1943.0			1.0	Jackson	Mississippi	USA	Middle Grade
				Man		Broaddus	Maurice	Maurice Broaddus	294.0				1.0				
				Woman		Mohamed	Nadifa	Nadifa Mohamed	295.0	1981.0			3.0	Hargeisa		Somaliland	Adult fiction
				Woman		Forna	Namina	Namina Forna	296.0	1987.0			1.0	Freetown		Sierra Leone	Young adult fiction
				Woman		Tarpley	Natasha	Natasha Tarpley	297.0	1971.0			1.0	Chicago	Illinois	USA	Middle Grade
				Woman		Stone	Nic	Nic Stone	298.0	1985.0			9.0	Atlanta	Georgia	USA	Middle grade and Young adult fiction
				Woman		Yoon	Nicola	Nicola Yoon	299.0	1972.0			3.0			Jamaica	Young adult fiction
				Woman		Grimes	Nikki	Nikki Grimes	300.0	1950.0			3.0	Harlem	New York	USA	Middle grade and Young adult fiction
				Woman		Carter 	Nikki 	Nikki Carter	301.0				1.0				
				Woman		Collier	Nicole D.	Nicole D. Collier	302.0				1.0				
				Woman		Okorafor	Nnedi	Nnedi Okorafor	303.0	1974.0			4.0	Cincinnati	Ohio	USA	Middle grade and Young adult fiction
				Man		Ndibe	Okey	Okey Ndibe	304.0	1960.0			2.0	Yola		Nigeria	Adult fiction
				Woman		Harris	Pamela N.	Pamela N. Harris	305.0				1.0				
				Woman		Chase	Paula	Paula Chase	306.0				9.0				
				Man		Kimani	Peter	Peter Kimani	307.0	1971.0			1.0			Kenya	Adult fiction
				Woman		Gappah	Petina	Petina Gappah	308.0	1971.0			2.0	Copperbelt Province		Zambia	Adult fiction
				Woman		Barron	Rena	Rena Barron	309.0				3.0				
				Woman		Watson	Renée 	Renée Watson	310.0	1978.0			6.0	Paterson	New Jersey	USA	Middle grade and Young adult fiction
				Woman		Williams-Garcia	Rita	Rita Williams-Garcia	311.0	1957.0			1.0	Queens	New York	USA	Middle Grade
				Man		Smith	Ronald L.	Ronald L. Smith 	312.0	1959.0			1.0	Maine	Maine	USA	Middle Grade
				Woman		Brown	Roseanne A. 	Roseanne A. Brown	313.0				1.0				
				Man		Douglass	Ryan	Ryan Douglass	314.0				1.0				
				Woman		Everett	Sarah	Sarah Everett	315.0				4.0				
				Woman		Fleming	Sarah Lee Brown	Sarah Lee Brown Fleming	316.0	1875.0		1963.0	1.0	Charleston	South Carolina	USA	Adult fiction
				Woman		Atta	Sefi	Sefi Atta	317.0	1964.0			4.0	Lagos		Nigeria	Adult fiction
				Woman		Flake	Sharon	Sharon Flake	318.0	1955.0			1.0	Philadelphia	Pennsylvania	USA	Middle Grade
				Woman		Draper	Sharon M.	Sharon M. Draper	319.0	1948.0			3.0	Cleveland	Ohio	USA	Middle Grade
				Man		Goines	Donald	Donald Goines	320.0	1936.0		1974.0	13.0	Detroit	Michigan	USA	Adult fiction
				Woman		Winston	Sherri	Sherri Winston	321.0				1.0				
				Man		Chinodya	Shimmer	Shimmer Chinodya	322.0	1957.0			2.0	Gweru		Zimbabwe	Adult fiction
				Man		Barnes	Steven	Steven Barnes	323.0	1952.0			2.0	Los Angeles	California	USA	Adult fiction
				Woman		Nyathi	Sue	Sue Nyathi	324.0				3.0				
				Man		Aluko 	T. M. 	T. M. Aluko	325.0	1918.0		2010.0	2.0	Ilesha		Nigeria	Adult fiction
				Woman		Charles	Tami	Tami Charles	326.0				3.0				
				Woman		Davis	Tanita S.	Tanita S. Davis	327.0				2.0				
				Man		Huchu	Tendai 	Tendai Huchu	328.0	1982.0			1.0	Bindura		Zimbabwe	Adult fiction
				Woman		Jackson	Tiffany D. 	Tiffany D. Jackson	329.0				4.0	Brooklyn	New York	USA	
				Man		Onyebuchi	Tochi	Tochi Onyebuchi	330.0	1987.0			2.0	Northampton	Massachusetts	USA	Young adult fiction
				Woman		Adeyemi	Tomi	Tomi Adeyemi	331.0	1993.0			2.0	San Diego	California	USA	Young adult fiction
				Man		Kan	Toni	Toni Kan	332.0	1971.0			1.0			Nigeria	Adult fiction
				Woman		Bolden	Tonya	Tonya Bolden	333.0	1959.0			1.0	New York City	New York	USA	Young adult fiction
				Man		Maldonado	Torrey	Torrey Maldonado	334.0				3.0				
				Woman		Baptiste	Tracey	Tracey Baptiste	335.0	1972.0			1.0	San Fernando		Trinidad and Tobago	Middle Grade
				Woman		Deonn	Tracy	Tracy Deonn	336.0				1.0				
				Man		Johnson	Varian	Varian Johnson	337.0	1977.0			9.0	Florence	South Carolina	USA	Middle Grade
				Man		Okediran	Wale 	Wale Okediran	338.0	1955.0			1.0	Oyo		Nigeria	Adult fiction
				Man		Myers	Walter Dean	Walter Dean Myers	339.0	1937.0		2014.0	2.0	Martinsburg	West Virginia	USA	Young adult fiction
				Woman		Amazeen	Whitney	Whitney Amazeen	340.0				1.0				
				Woman		Grandison	Whitney D.	Whitney D. Grandison	341.0				2.0				
				Woman		Kilanko	Yejide	Yejide Kilanko	342.0	1975.0			3.0	Ibadan		Nigeria	Adult fiction
				Woman		Vera 	Yvonne	Yvonne Vera 	343.0	1964.0		2005.0	5.0	Bulawayo		Southern Rhodesia (now Zimbabwe)	Adult fiction
				Woman		Elliott	Zetta	Zetta Elliott	344.0	1972.0			5.0	Ajax		Canada	Middle Grade
				Man		West	John B.	John B. West	345.0	1928.0			1.0				
				Man		Cannon	Steve	Steve Cannon	346.0	1935.0		2019.0	1.0	New Orleans	Louisiana	USA	
				Man		Murray	Albert	Albert Murray	347.0	1916.0		2013.0	3.0				
				Man		Lester	Julius	Julius Lester	348.0	1939.0		2018.0	10.0	St. Louis	Missouri	USA	
				Man		French	Albert	Albert French	349.0				2.0				
				Man		Flowers	Arthur	Arthur Flowers	350.0				1.0				
				Man		Major	Clarence	Clarence Major	351.0	1936.0			5.0				
				Man		Pinckney	Darryl	Darryl Pinckney	352.0				1.0				
				Woman		Faye	Sanderia	Sanderia Faye	353.0				1.0				
				Man		Moore	David Barclay	David Barclay Moore	354.0				1.0				
				Man		Reed	Dwayne	Dwayne Reed	355.0				1.0				
				Man		Lincoln	Eric C.	Eric C. Lincoln	356.0				1.0				
				Woman		Garrett	Kellye	Kellye Garrett	357.0				4.0				
				Man		Gil Scott-Heron	Gil	Gil Scott-Heron	358.0	1949.0		2011.0	2.0	Chicago	Illinois	USA	
				Man		Peebles	Melvin Van	Melvin Van Peebles	359.0	1932.0		2021.0	2.0				
				Man		Tyree	Omar	Omar Tyree	360.0	1969.0			16.0	Philadelphia	Pennsylvania	USA	Adult fiction
				Woman		Brown	Diane Marie	Diane Marie Brown	361.0				1.0				
				Woman		Carr	Lakiesha	Lakiesha Carr	362.0				1.0				
				Man		Adjei-Brenyah	Nana Kwame	Nana Kwame Adjei-Brenyah	363.0	1991.0			1.0	Spring Valley	New York	USA	Adult fiction
				Woman		Johnson	Sadeqa	Sadeqa Johnson	364.0				2.0				
				Woman		Cauley	Kashana	Kashana Cauley	365.0				1.0				
				Woman		Briscoe	Connie	Connie Briscoe	366.0	1952.0			8.0	Washington D. C.		USA	Adult fiction
				Woman		George	Jessica	Jessica George	367.0				1.0				
				Woman		Brashears	Monica	Monica Brashears	368.0				1.0				
				Woman		Black	Regina	Regina Black	369.0				1.0				
				Man		Kearse	Stephen	Stephen Kearse	370.0				1.0				
				Woman		Harrison	Tiffany Clarke	Tiffany Clarke Harrison	371.0				1.0				
				Man		Phillips	Gary	Gary Phillips	372.0				1.0				
				Woman		Morris	Wanda M.	Wanda M. Morris	373.0				1.0				
				Woman		Bush	Keisha	Keisha Bush	374.0				1.0				
				Woman		Hall	Rachel Howzell	Rachel Howzell Hall	375.0	1914.0		1994.0	8.0	Oklahoma City	Oklahoma	USA	Adult fiction
